"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kentavious Caldwell-Pope","Orl","G","32","50","30.4","12.9","10.2","67","0.881","144","0.583","236","0.314","0.513","0.548","9","2","1.8","1.5","0.5","0.9","11","10.8","12.9","4.2","110.3","108.6"
"","Robert Williams III","Por","C-F","27.3","18","17.7","12.2","19.9","17","0.882","65","0.646","3","0.333","0.64","0.676","5.7","6","1.1","0.6","1.7","0.9","11.7","6.8","12.8","7.6","125.5","106.9"
"","Aaron Nesmith","Ind","G-F","25.3","15","20.9","14.7","11.7","29","0.897","47","0.553","36","0.417","0.584","0.642","8.2","3.3","1.3","0.6","0.3","0.7","11.5","9.5","12.8","6.3","123","106"
"","Julian Strawther","Den","G","22.8","52","22","17.5","10","73","0.822","177","0.52","219","0.361","0.532","0.562","9.3","2.1","1.3","0.7","0.3","0.8","11.4","10.6","12.7","5.3","109.6","108.5"
"","Dean Wade","Cle","F-C","28.2","35","22.8","10.8","5.8","25","0.52","30","0.7","149","0.349","0.553","0.555","6","5.1","1.6","0.9","0.5","0.3","11.1","7.6","12.7","6.4","123.9","105.1"
"","Max Christie","Lal","G","22","46","25.1","14","11.9","87","0.851","125","0.544","163","0.368","0.549","0.598","8.5","2.7","1.4","0.8","0.5","0.8","11.2","9.9","12.6","5.1","116.2","112.3"
"","Justin Edwards","Phi","F","21.1","21","23.6","14.5","11.6","17","0.647","53","0.623","84","0.357","0.569","0.578","8","3.1","1.4","0.7","0.3","0.9","11","9.4","12.5","5.5","113.8","111.1"
"","Dalano Banton","Por","F","25.3","40","15.2","25.7","14.1","74","0.703","165","0.455","126","0.357","0.49","0.521","8.4","2","2.1","0.7","0.5","1.2","10.4","10.5","12.5","8.6","104.6","114.2"
"","Kyle Filipowski","Uta","C","21.3","39","18","14.7","18.2","59","0.627","107","0.607","72","0.306","0.547","0.568","6","4.6","1.8","0.5","0.1","1","10.6","7.8","12.4","8.2","112.6","109.2"
"","Kevin Huerter","Sac","G-F","26.5","43","20.9","17","10.7","28","0.714","105","0.629","205","0.302","0.513","0.524","7.9","2.8","1.7","0.8","0.4","0.9","10.7","9.6","12.4","6.4","104.9","110.6"
"","Thomas Bryant","Ind","C-F","27.5","24","15.2","17.6","7.9","20","0.8","74","0.635","54","0.389","0.613","0.632","7.2","4","1.1","0.6","0.5","0.5","11.2","8.3","12.3","8.3","130.4","111.7"
